"","size_fraction","sample_id","object_annotation_category","dryweight_C_mg_sum_taxa","dryweight_C_ug_sum_taxa","dryweight_C_mg_sum_sample","dryweight_C_ug_sum_sample","sample_conc","potemp2","density2","oxy_sat","Sal2","NO2","nitracline_depth","NO3","fluorescence","hypoxia_depth","chl_max_depth","PO4","SIL","NH4","beam_depth","chl_max","mixedlayerdepths","intergrated_chl","day_night_0_1","distance_from_shore","PAR_1_depth_adj","max_size","cycle","Sample_ID_short","PC1","Longitude","Latitude","log10_dryweight_C_ug_m2_taxa","dryweight_C_mg_m2_taxa","log10_dryweight_C_ug_m2_sample","dryweight_C_mg_m2_sample","biomass_prop_taxa"
"1","0.5-1","c2_t8_h18","Euphausiacea",0.000154391391108896,0.154391391108896,3.52467111555877,3524.67111555877,132.759075907591,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,0.5,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,-1.86826440001268,0.0204968584117044,8.1675424103429,467.932080179759,4.38030630510103e-05
"2","0.5-1","c2_t8_h18","Euphausiacea",0.000154391391108896,0.154391391108896,3.52467111555877,3524.67111555877,132.759075907591,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,1,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,-1.86826440001268,0.0204968584117044,8.1675424103429,467.932080179759,4.38030630510103e-05
"3","0.5-1","c2_t8_h18","Euphausiacea",0.000154391391108896,0.154391391108896,3.52467111555877,3524.67111555877,132.759075907591,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,2,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,-1.86826440001268,0.0204968584117044,8.1675424103429,467.932080179759,4.38030630510103e-05
"4","1-2","c1_t7_h9","Euphausiacea",0.00400314765890542,4.00314765890542,2.41840084096279,2418.40084096279,72.145390070922,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,0.5,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,1.38708096639118,0.28880864936323,7.79086179120038,174.476472019106,0.00165528707693954
"5","1-2","c1_t7_h9","Euphausiacea",0.00400314765890542,4.00314765890542,2.41840084096279,2418.40084096279,72.145390070922,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,1,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,1.38708096639118,0.28880864936323,7.79086179120038,174.476472019106,0.00165528707693954
"6","1-2","c1_t7_h9","Euphausiacea",0.00400314765890542,4.00314765890542,2.41840084096279,2418.40084096279,72.145390070922,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,2,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,1.38708096639118,0.28880864936323,7.79086179120038,174.476472019106,0.00165528707693954
"7","1-2","c2_t9_h19","Euphausiacea",0.0503227939759508,50.3227939759508,36.3317736259335,36331.7736259335,17.2420634920635,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,0.5,"2","C2-T9-H19",2.811058313,-123.226,36.46062,3.91845813501514,0.867668808831375,10.5004479438951,626.434747637623,0.00138509048564672
"8","1-2","c2_t9_h19","Euphausiacea",0.0503227939759508,50.3227939759508,36.3317736259335,36331.7736259335,17.2420634920635,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,1,"2","C2-T9-H19",2.811058313,-123.226,36.46062,3.91845813501514,0.867668808831375,10.5004479438951,626.434747637623,0.00138509048564672
"9","1-2","c2_t9_h19","Euphausiacea",0.0503227939759508,50.3227939759508,36.3317736259335,36331.7736259335,17.2420634920635,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,2,"2","C2-T9-H19",2.811058313,-123.226,36.46062,3.91845813501514,0.867668808831375,10.5004479438951,626.434747637623,0.00138509048564672
"10","1-2","ct1_t2_h29","Euphausiacea",0.00131097543230444,1.31097543230444,9.93416033741453,9934.16033741453,0.4000400040004,18.16554375,23.51706875,68.402375,32.7602,0.0065,80.1,-0.06,0.0202625,312.9815,70.47466667,0.3345,1.135,0.0035,58.565,0.948566667,49.90714574,0.1229,1,524.1840843,11,0.5,"T1","CT1-T2-H29",-3.394650309,-127.5728,35.0498,0.270771464944981,0.000524442617183494,9.20373463580426,3.97406154111992,0.000131966405592124
"11","1-2","ct1_t2_h29","Euphausiacea",0.00131097543230444,1.31097543230444,9.93416033741453,9934.16033741453,0.4000400040004,18.16554375,23.51706875,68.402375,32.7602,0.0065,80.1,-0.06,0.0202625,312.9815,70.47466667,0.3345,1.135,0.0035,58.565,0.948566667,49.90714574,0.1229,1,524.1840843,11,1,"T1","CT1-T2-H29",-3.394650309,-127.5728,35.0498,0.270771464944981,0.000524442617183494,9.20373463580426,3.97406154111992,0.000131966405592124
"12","1-2","ct1_t2_h29","Euphausiacea",0.00131097543230444,1.31097543230444,9.93416033741453,9934.16033741453,0.4000400040004,18.16554375,23.51706875,68.402375,32.7602,0.0065,80.1,-0.06,0.0202625,312.9815,70.47466667,0.3345,1.135,0.0035,58.565,0.948566667,49.90714574,0.1229,1,524.1840843,11,2,"T1","CT1-T2-H29",-3.394650309,-127.5728,35.0498,0.270771464944981,0.000524442617183494,9.20373463580426,3.97406154111992,0.000131966405592124
"13","1-2","ct2_t8_h43","Euphausiacea",0.0124560904890338,12.4560904890338,25.5304835121373,25530.4835121373,172.690793229988,15.68699375,25.07190625,77.0835625,34.03350625,0.211496484,5.491,7.418104457,1.07124375,161.261,14.891,0.696521147,6.376082642,0.259804398,9.927,1.530533333,40.83314211,43.725,1,52.40822911,47,0.5,"T2","CT2-T8-H43",2.955154777,-120.8298,34.54325,2.52220969919974,2.15105214709576,10.1476284490353,4408.87944925611,0.000487890896508566
"14","1-2","ct2_t8_h43","Euphausiacea",0.0124560904890338,12.4560904890338,25.5304835121373,25530.4835121373,172.690793229988,15.68699375,25.07190625,77.0835625,34.03350625,0.211496484,5.491,7.418104457,1.07124375,161.261,14.891,0.696521147,6.376082642,0.259804398,9.927,1.530533333,40.83314211,43.725,1,52.40822911,47,1,"T2","CT2-T8-H43",2.955154777,-120.8298,34.54325,2.52220969919974,2.15105214709576,10.1476284490353,4408.87944925611,0.000487890896508566
"15","1-2","ct2_t8_h43","Euphausiacea",0.0124560904890338,12.4560904890338,25.5304835121373,25530.4835121373,172.690793229988,15.68699375,25.07190625,77.0835625,34.03350625,0.211496484,5.491,7.418104457,1.07124375,161.261,14.891,0.696521147,6.376082642,0.259804398,9.927,1.530533333,40.83314211,43.725,1,52.40822911,47,2,"T2","CT2-T8-H43",2.955154777,-120.8298,34.54325,2.52220969919974,2.15105214709576,10.1476284490353,4408.87944925611,0.000487890896508566
"16",">2","c1_t7_h9","Euphausiacea",3.2217933782017,3221.7933782017,4.48224327908628,4482.24327908628,28.8581560283688,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,0.5,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,8.07769343325158,92.97501599931,8.40787893202353,129.349275904979,0.718790386330497
"17",">2","c1_t7_h9","Euphausiacea",3.2217933782017,3221.7933782017,4.48224327908628,4482.24327908628,28.8581560283688,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,1,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,8.07769343325158,92.97501599931,8.40787893202353,129.349275904979,0.718790386330497
"18",">2","c1_t7_h9","Euphausiacea",3.2217933782017,3221.7933782017,4.48224327908628,4482.24327908628,28.8581560283688,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,2,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,8.07769343325158,92.97501599931,8.40787893202353,129.349275904979,0.718790386330497
"19",">2","c1_t8_h10","Euphausiacea",4.52760915512466,4527.60915512466,7.97484838868419,7974.84838868419,114.248951048951,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,0.5,"1","C1-T8-H10",4.157659552,-122.4958,36.11382,8.41794929882634,517.274596732619,8.98404791664904,911.118063181587,0.567736079039327
"20",">2","c1_t8_h10","Euphausiacea",4.52760915512466,4527.60915512466,7.97484838868419,7974.84838868419,114.248951048951,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,1,"1","C1-T8-H10",4.157659552,-122.4958,36.11382,8.41794929882634,517.274596732619,8.98404791664904,911.118063181587,0.567736079039327
"21",">2","c1_t8_h10","Euphausiacea",4.52760915512466,4527.60915512466,7.97484838868419,7974.84838868419,114.248951048951,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,2,"1","C1-T8-H10",4.157659552,-122.4958,36.11382,8.41794929882634,517.274596732619,8.98404791664904,911.118063181587,0.567736079039327
"22",">2","c2_t8_h18","Euphausiacea",20.8560415253471,20856.0415253471,28.4586977447911,28458.6977447911,48.1251650165016,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,0.5,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,9.94539894666175,1003.70043999834,10.2562091132108,1369.57952512282,0.732852982676075
"23",">2","c2_t8_h18","Euphausiacea",20.8560415253471,20856.0415253471,28.4586977447911,28458.6977447911,48.1251650165016,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,1,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,9.94539894666175,1003.70043999834,10.2562091132108,1369.57952512282,0.732852982676075
"24",">2","c2_t8_h18","Euphausiacea",20.8560415253471,20856.0415253471,28.4586977447911,28458.6977447911,48.1251650165016,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,2,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,9.94539894666175,1003.70043999834,10.2562091132108,1369.57952512282,0.732852982676075
"25",">2","c2_t9_h19","Euphausiacea",2.24421378426114,2244.21378426114,18.904361774388,18904.361774388,40.6420068027211,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,0.5,"2","C2-T9-H19",2.811058313,-123.226,36.46062,7.71611053138334,91.2093518867016,9.84714795613538,768.311199835778,0.118714073029519
"26",">2","c2_t9_h19","Euphausiacea",2.24421378426114,2244.21378426114,18.904361774388,18904.361774388,40.6420068027211,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,1,"2","C2-T9-H19",2.811058313,-123.226,36.46062,7.71611053138334,91.2093518867016,9.84714795613538,768.311199835778,0.118714073029519
"27",">2","c2_t9_h19","Euphausiacea",2.24421378426114,2244.21378426114,18.904361774388,18904.361774388,40.6420068027211,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,2,"2","C2-T9-H19",2.811058313,-123.226,36.46062,7.71611053138334,91.2093518867016,9.84714795613538,768.311199835778,0.118714073029519
"28",">2","c3_t6_h25","Euphausiacea",1.64062197718941,1640.62197718941,15.5378603838055,15537.8603838055,6.06105502532474,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,0.5,"3","C3-T6-H25",-4.6044581,-130.477,34.56042,7.40283070330327,9.94390007950212,9.65103493000247,94.1758267620587,0.105588667722833
"29",">2","c3_t6_h25","Euphausiacea",1.64062197718941,1640.62197718941,15.5378603838055,15537.8603838055,6.06105502532474,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,1,"3","C3-T6-H25",-4.6044581,-130.477,34.56042,7.40283070330327,9.94390007950212,9.65103493000247,94.1758267620587,0.105588667722833
"30",">2","c3_t6_h25","Euphausiacea",1.64062197718941,1640.62197718941,15.5378603838055,15537.8603838055,6.06105502532474,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,2,"3","C3-T6-H25",-4.6044581,-130.477,34.56042,7.40283070330327,9.94390007950212,9.65103493000247,94.1758267620587,0.105588667722833
"31",">2","ct1_t1_h28","Euphausiacea",0.959985057032414,959.985057032414,17.9360141199687,17936.0141199687,0.628634292000629,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,0.5,"T1","CT1-T1-H28",-2.054216937,-128.5755,34.96055,6.8669177187495,0.603479526658755,9.79456593255342,11.2751935376198,0.0535227643450412
"32",">2","ct1_t1_h28","Euphausiacea",0.959985057032414,959.985057032414,17.9360141199687,17936.0141199687,0.628634292000629,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,1,"T1","CT1-T1-H28",-2.054216937,-128.5755,34.96055,6.8669177187495,0.603479526658755,9.79456593255342,11.2751935376198,0.0535227643450412
"33",">2","ct1_t1_h28","Euphausiacea",0.959985057032414,959.985057032414,17.9360141199687,17936.0141199687,0.628634292000629,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,2,"T1","CT1-T1-H28",-2.054216937,-128.5755,34.96055,6.8669177187495,0.603479526658755,9.79456593255342,11.2751935376198,0.0535227643450412
"34",">2","ct1_t5_h32","Euphausiacea",0.103202773063554,103.202773063554,2.75220955106452,2752.20955106452,64.2348364715355,17.41111875,23.60625,81.763,32.63924375,0.032,60.184,0.115333333,0.1357875,295.1365,44.66966667,0.364,1.203666667,0.021333333,40.7,2.300733333,40.373965,105.72,0,287.1546375,5,0.5,"T1","CT1-T5-H32",-2.057413352,-124.7213,35.11383,4.63669572345732,6.62921325114635,7.92015934116326,176.787730448028,0.0374981523567622
"35",">2","ct1_t5_h32","Euphausiacea",0.103202773063554,103.202773063554,2.75220955106452,2752.20955106452,64.2348364715355,17.41111875,23.60625,81.763,32.63924375,0.032,60.184,0.115333333,0.1357875,295.1365,44.66966667,0.364,1.203666667,0.021333333,40.7,2.300733333,40.373965,105.72,0,287.1546375,5,1,"T1","CT1-T5-H32",-2.057413352,-124.7213,35.11383,4.63669572345732,6.62921325114635,7.92015934116326,176.787730448028,0.0374981523567622
"36",">2","ct1_t5_h32","Euphausiacea",0.103202773063554,103.202773063554,2.75220955106452,2752.20955106452,64.2348364715355,17.41111875,23.60625,81.763,32.63924375,0.032,60.184,0.115333333,0.1357875,295.1365,44.66966667,0.364,1.203666667,0.021333333,40.7,2.300733333,40.373965,105.72,0,287.1546375,5,2,"T1","CT1-T5-H32",-2.057413352,-124.7213,35.11383,4.63669572345732,6.62921325114635,7.92015934116326,176.787730448028,0.0374981523567622
"37",">2","ct1_t6_h33","Euphausiacea",0.0366048444063884,36.6048444063884,3.25298682407368,3252.98682407368,40.0311375409057,17.67494737,23.63878421,73.37931422,32.76398421,0.004,89.237,-0.021333333,0.0678,286.213,55.58733333,0.339,1.184,0.008,47.647,1.4834,43.86420492,44.366,1,220.3050539,78,0.5,"T1","CT1-T6-H33",-2.808803596,-123.8861,35.15777,3.60018059247868,1.46533356109559,8.0873288760728,130.220762973248,0.0112526875717709
"38",">2","ct1_t6_h33","Euphausiacea",0.0366048444063884,36.6048444063884,3.25298682407368,3252.98682407368,40.0311375409057,17.67494737,23.63878421,73.37931422,32.76398421,0.004,89.237,-0.021333333,0.0678,286.213,55.58733333,0.339,1.184,0.008,47.647,1.4834,43.86420492,44.366,1,220.3050539,78,1,"T1","CT1-T6-H33",-2.808803596,-123.8861,35.15777,3.60018059247868,1.46533356109559,8.0873288760728,130.220762973248,0.0112526875717709
"39",">2","ct1_t6_h33","Euphausiacea",0.0366048444063884,36.6048444063884,3.25298682407368,3252.98682407368,40.0311375409057,17.67494737,23.63878421,73.37931422,32.76398421,0.004,89.237,-0.021333333,0.0678,286.213,55.58733333,0.339,1.184,0.008,47.647,1.4834,43.86420492,44.366,1,220.3050539,78,2,"T1","CT1-T6-H33",-2.808803596,-123.8861,35.15777,3.60018059247868,1.46533356109559,8.0873288760728,130.220762973248,0.0112526875717709
"40",">2","ct1_t7_h34","Euphausiacea",0.100157286564271,100.157286564271,22.5551365626908,22555.1365626907,47.0862205956483,16.22978889,24.64262778,71.93337769,33.63152222,0.18025,5.198,4.7105,0.991344444,272.3325,44.66933333,0.55525,2.63575,0.1955,8.935,1.644233333,49.89389011,61.179,1,164.3233095,55,0.5,"T1","CT1-T7-H34",1.021747674,-123.1012,35.20463,4.60674181597315,4.71602808942683,10.0237181044768,1062.03613575583,0.00444055332078746
"41",">2","ct1_t7_h34","Euphausiacea",0.100157286564271,100.157286564271,22.5551365626908,22555.1365626907,47.0862205956483,16.22978889,24.64262778,71.93337769,33.63152222,0.18025,5.198,4.7105,0.991344444,272.3325,44.66933333,0.55525,2.63575,0.1955,8.935,1.644233333,49.89389011,61.179,1,164.3233095,55,1,"T1","CT1-T7-H34",1.021747674,-123.1012,35.20463,4.60674181597315,4.71602808942683,10.0237181044768,1062.03613575583,0.00444055332078746
"42",">2","ct1_t7_h34","Euphausiacea",0.100157286564271,100.157286564271,22.5551365626908,22555.1365626907,47.0862205956483,16.22978889,24.64262778,71.93337769,33.63152222,0.18025,5.198,4.7105,0.991344444,272.3325,44.66933333,0.55525,2.63575,0.1955,8.935,1.644233333,49.89389011,61.179,1,164.3233095,55,2,"T1","CT1-T7-H34",1.021747674,-123.1012,35.20463,4.60674181597315,4.71602808942683,10.0237181044768,1062.03613575583,0.00444055332078746
"43",">2","ct1_t8_h35","Euphausiacea",2.0046282581522,2004.6282581522,11.0332504834135,11033.2504834135,116.675293554425,16.601525,24.4496125,62.516375,33.49135,0.13575,34.766,1.831,1.00973125,211.846,24.81766667,0.41225,2.2655,0.52375,19.854,1.631833333,30.76237143,8.3863,0,119.4843272,10,0.5,"T1","CT1-T8-H35",1.240985634,-122.3004,35.1785,7.60321391514521,233.890590487404,9.30866876361267,1287.30773901177,0.181689726084421
"44",">2","ct1_t8_h35","Euphausiacea",2.0046282581522,2004.6282581522,11.0332504834135,11033.2504834135,116.675293554425,16.601525,24.4496125,62.516375,33.49135,0.13575,34.766,1.831,1.00973125,211.846,24.81766667,0.41225,2.2655,0.52375,19.854,1.631833333,30.76237143,8.3863,0,119.4843272,10,1,"T1","CT1-T8-H35",1.240985634,-122.3004,35.1785,7.60321391514521,233.890590487404,9.30866876361267,1287.30773901177,0.181689726084421
"45",">2","ct1_t8_h35","Euphausiacea",2.0046282581522,2004.6282581522,11.0332504834135,11033.2504834135,116.675293554425,16.601525,24.4496125,62.516375,33.49135,0.13575,34.766,1.831,1.00973125,211.846,24.81766667,0.41225,2.2655,0.52375,19.854,1.631833333,30.76237143,8.3863,0,119.4843272,10,2,"T1","CT1-T8-H35",1.240985634,-122.3004,35.1785,7.60321391514521,233.890590487404,9.30866876361267,1287.30773901177,0.181689726084421
