Sample_ID_short,Cycle,Tow,Haul,Date,size_fraction,max_size,biomass_dry
C1-T1-H3,1,1,3,7/22/2021,0.2,0.5,483.9
C1-T2-H4,1,2,4,7/22/2021,0.2,0.5,546.4
C1-T3-H5,1,3,5,7/22/2021,0.2,0.5,
C1-T4-H6,1,4,6,7/23/2021,0.2,0.5,761.6
C1-T5-H7,1,5,7,7/23/2021,0.2,0.5,395.4
C1-T6-H8,1,6,8,7/24/2021,0.2,0.5,594.2
C1-T7-H9,1,7,9,7/25/2021,0.2,0.5,511.4
C1-T8-H10,1,8,10,7/25/2021,0.2,0.5,330.7
C1-T9-H11,1,9,11,7/25/2021,0.2,0.5,632.3
C2-T1-H12,2,1,12,7/26/2021,0.2,0.5,735.8
C2-T2-H13,2,2,13,7/27/2021,0.2,0.5,454.5
C2-T3-H14,2,3,14,7/28/2021,0.2,0.5,509.5
C2-T4-H15a,2,4,15a,7/28/2021,0.2,0.5,213
C2-T5-H15b,2,5,15b,7/29/2021,0.2,0.5,715.3
C2-T6-H16,2,6,16,7/29/2021,0.2,0.5,785.6
C2-T7-H17,2,7,17,7/30/2021,0.2,0.5,700.6
C2-T8-H18,2,8,18,7/30/2021,0.2,0.5,
C2-T9-H19,2,9,19,7/31/2021,0.2,0.5,551
C3-T1-H20,3,1,20,8/3/2021,0.2,0.5,48.6
C3-T2-H21,3,2,21,8/3/2021,0.2,0.5,120.4
C3-T3-H22,3,3,22,8/4/2021,0.2,0.5,31
C3-T4-H23,3,4,23,8/4/2021,0.2,0.5,72.4
C3-T5-H24,3,5,24,8/5/2021,0.2,0.5,70.2
C3-T6-H25,3,6,25,8/5/2021,0.2,0.5,80.8
C3-T7-H26,3,7,26,8/6/2021,0.2,0.5,89.3
C3-T8-H27,3,8,27,8/6/2021,0.2,0.5,83.2
CT1-T1-H28,T1,1,28,8/7/2021,0.2,0.5,194.3
CT1-T2-H29,T1,2,29,8/8/2021,0.2,0.5,108.9
CT1-T3-H30,T1,3,30,8/8/2021,0.2,0.5,67.2
CT1-T4-H31,T1,4,31,8/9/2021,0.2,0.5,
CT1-T5-H32,T1,5,32,8/9/2021,0.2,0.5,
CT1-T6-H33,T1,6,33,8/9/2021,0.2,0.5,151.7
CT1-T7-H34,T1,7,34,8/9/2021,0.2,0.5,427.3
CT1-T8-H35,T1,8,35,8/10/2021,0.2,0.5,
CT2-T1-H36,T2,1,36,8/10/2021,0.2,0.5,
CT2-T2-H37,T2,2,37,8/10/2021,0.2,0.5,387.1
CT2-T3-H38,T2,3,38,8/10/2021,0.2,0.5,226.7
CT2-T4-H39,T2,4,39,8/10/2021,0.2,0.5,
CT2-T5-H40,T2,5,40,8/10/2021,0.2,0.5,476.1
CT2-T6-H41,T2,6,41,8/11/2021,0.2,0.5,323.9
CT2-T7-H42,T2,7,42,8/11/2021,0.2,0.5,551.9
CT2-T8-H43,T2,8,43,8/11/2021,0.2,0.5,
C1-T1-H3,1,1,3,7/22/2021,0.5,1,357.7
C1-T2-H4,1,2,4,7/22/2021,0.5,1,253.8
C1-T3-H5,1,3,5,7/22/2021,0.5,1,
C1-T4-H6,1,4,6,7/23/2021,0.5,1,536.2
C1-T5-H7,1,5,7,7/23/2021,0.5,1,222.3
C1-T6-H8,1,6,8,7/24/2021,0.5,1,161.3
C1-T7-H9,1,7,9,7/25/2021,0.5,1,380.5
C1-T8-H10,1,8,10,7/25/2021,0.5,1,233.5
C1-T9-H11,1,9,11,7/25/2021,0.5,1,560.4
C2-T1-H12,2,1,12,7/26/2021,0.5,1,176.3
C2-T2-H13,2,2,13,7/27/2021,0.5,1,306.2
C2-T3-H14,2,3,14,7/28/2021,0.5,1,226.8
C2-T4-H15a,2,4,15a,7/28/2021,0.5,1,297.4
C2-T5-H15b,2,5,15b,7/29/2021,0.5,1,200.1
C2-T6-H16,2,6,16,7/29/2021,0.5,1,369.5
C2-T7-H17,2,7,17,7/30/2021,0.5,1,248.7
C2-T8-H18,2,8,18,7/30/2021,0.5,1,-58.9
C2-T9-H19,2,9,19,7/31/2021,0.5,1,203.8
C3-T1-H20,3,1,20,8/3/2021,0.5,1,38.4
C3-T2-H21,3,2,21,8/3/2021,0.5,1,76.2
C3-T3-H22,3,3,22,8/4/2021,0.5,1,11.5
C3-T4-H23,3,4,23,8/4/2021,0.5,1,57.2
C3-T5-H24,3,5,24,8/5/2021,0.5,1,53.4
C3-T6-H25,3,6,25,8/5/2021,0.5,1,53.8
C3-T7-H26,3,7,26,8/6/2021,0.5,1,51.6
C3-T8-H27,3,8,27,8/6/2021,0.5,1,52.8
CT1-T1-H28,T1,1,28,8/7/2021,0.5,1,246.8
CT1-T2-H29,T1,2,29,8/8/2021,0.5,1,76.1
CT1-T3-H30,T1,3,30,8/8/2021,0.5,1,36.9
CT1-T4-H31,T1,4,31,8/9/2021,0.5,1,
CT1-T5-H32,T1,5,32,8/9/2021,0.5,1,
CT1-T6-H33,T1,6,33,8/9/2021,0.5,1,137.2
CT1-T7-H34,T1,7,34,8/9/2021,0.5,1,498.6
CT1-T8-H35,T1,8,35,8/10/2021,0.5,1,
CT2-T1-H36,T2,1,36,8/10/2021,0.5,1,
CT2-T2-H37,T2,2,37,8/10/2021,0.5,1,381.6
CT2-T3-H38,T2,3,38,8/10/2021,0.5,1,150
CT2-T4-H39,T2,4,39,8/10/2021,0.5,1,
CT2-T5-H40,T2,5,40,8/10/2021,0.5,1,516.7
CT2-T6-H41,T2,6,41,8/11/2021,0.5,1,140.9
CT2-T7-H42,T2,7,42,8/11/2021,0.5,1,553.2
CT2-T8-H43,T2,8,43,8/11/2021,0.5,1,
C1-T1-H3,1,1,3,7/22/2021,1,2,124
C1-T2-H4,1,2,4,7/22/2021,1,2,98.2
C1-T3-H5,1,3,5,7/22/2021,1,2,0
C1-T4-H6,1,4,6,7/23/2021,1,2,162.9
C1-T5-H7,1,5,7,7/23/2021,1,2,159.6
C1-T6-H8,1,6,8,7/24/2021,1,2,320
C1-T7-H9,1,7,9,7/25/2021,1,2,328.6
C1-T8-H10,1,8,10,7/25/2021,1,2,348.6
C1-T9-H11,1,9,11,7/25/2021,1,2,846
C2-T1-H12,2,1,12,7/26/2021,1,2,87.9
C2-T2-H13,2,2,13,7/27/2021,1,2,289.9
C2-T3-H14,2,3,14,7/28/2021,1,2,181.9
C2-T4-H15a,2,4,15a,7/28/2021,1,2,174.6
C2-T5-H15b,2,5,15b,7/29/2021,1,2,101.5
C2-T6-H16,2,6,16,7/29/2021,1,2,456
C2-T7-H17,2,7,17,7/30/2021,1,2,180.3
C2-T8-H18,2,8,18,7/30/2021,1,2,
C2-T9-H19,2,9,19,7/31/2021,1,2,144.6
C3-T1-H20,3,1,20,8/3/2021,1,2,19.6
C3-T2-H21,3,2,21,8/3/2021,1,2,78.5
C3-T3-H22,3,3,22,8/4/2021,1,2,14.5
C3-T4-H23,3,4,23,8/4/2021,1,2,39.9
C3-T5-H24,3,5,24,8/5/2021,1,2,26.6
C3-T6-H25,3,6,25,8/5/2021,1,2,77.6
C3-T7-H26,3,7,26,8/6/2021,1,2,25.4
C3-T8-H27,3,8,27,8/6/2021,1,2,59
CT1-T1-H28,T1,1,28,8/7/2021,1,2,330.2
CT1-T2-H29,T1,2,29,8/8/2021,1,2,79.6
CT1-T3-H30,T1,3,30,8/8/2021,1,2,23.1
CT1-T4-H31,T1,4,31,8/9/2021,1,2,
CT1-T5-H32,T1,5,32,8/9/2021,1,2,
CT1-T6-H33,T1,6,33,8/9/2021,1,2,135.1
CT1-T7-H34,T1,7,34,8/9/2021,1,2,458.7
CT1-T8-H35,T1,8,35,8/10/2021,1,2,
CT2-T1-H36,T2,1,36,8/10/2021,1,2,
CT2-T2-H37,T2,2,37,8/10/2021,1,2,300
CT2-T3-H38,T2,3,38,8/10/2021,1,2,65.6
CT2-T4-H39,T2,4,39,8/10/2021,1,2,
CT2-T5-H40,T2,5,40,8/10/2021,1,2,376.6
CT2-T6-H41,T2,6,41,8/11/2021,1,2,124.9
CT2-T7-H42,T2,7,42,8/11/2021,1,2,190.4
CT2-T8-H43,T2,8,43,8/11/2021,1,2,
